Notes,ValidationRule,organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,Issue type,ErrorCode,ErrorMessage,ErrorMessageWelsh
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,O2,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,B1,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_RU&PackClass_invalid(P2|P3|P4|P6|O1|O2|B1|null),org_id_placeholder,ABC123456,L,2023-P2,SO,RU,,GL,,,,101,,Error/Gwall,35,Packaging type is reusable packaging (RU) so packaging class can only be primary packaging (P1) or non-primary reusable packaging (P5),"Pecynwaith ailddefnyddiadwy (RU) yw'r math o becynwaith, felly pecynwaith sylfaenol (P1) neu becynwaith ailddefnyddiadwy nad yw'n becynwaith sylfaenol (P5) yw'r unig ddosbarth pecynwaith sy'n bosibl"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,WD,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,PC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,FC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_HDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,ABC123456,L,2023-P2,SO,HDC,,OT,ceramic,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,WD,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,PC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,FC,,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_NDC&PackMaterial_invalid(WD|PC|FC|OT),org_id_placeholder,BCD,L,2023-P2,SO,NDC,,OT,ceramic,,,101,101,Error/Gwall,37,"Packaging material for household drinks containers (HDC) and non-household drinks containers (NDC) must be one of aluminium (AL), glass (GL), plastic (PL) or steel (ST)","Rhaid i'r deunydd pecynwaith ar gyfer cynwysyddion diodydd cartref (HDC) a chynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) fod yn un o blith alwminiwm (AL), gwydr (GL), plastig (PL) neu ddur (ST)"
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,,CW,O1,PL,,SC,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,,OW,O2,GL,,SC,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,SO,HH,P1,GL,,,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,SO,NH,P1,GL,,,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,SO,PB,B1,GL,,,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_not_NDC|HDC&QuantityUnits_Completed,org_id_placeholder,ABC123456,L,2023-P2,SO,RU,P1,GL,,,,101,101,Error/Gwall,38,Packaging material units not needed for this packaging type,Does dim angen unedau deunydd pecynwaith ar gyfer y math yma o ddeunydd pecynwaith
,PackType_HDC|NDC&QuantityUnits_not_Completed,org_id_placeholder,ABC123,L,2023-P2,SO,HDC,,GL,,,,101,,Error/Gwall,39,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so packaging material quantity must be a whole number,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly rhaid i swm y deunydd pecynwaith fod yn rhif cyfan"
,PackType_HDC|NDC&QuantityUnits_not_Completed,org_id_placeholder,BCD,L,2023-P2,SO,NDC,,GL,,,,101,,Error/Gwall,39,Packaging type is household drinks containers (HDC) or non-household drinks containers (NDC) so packaging material quantity must be a whole number,"Cynwysyddion diodydd cartref (HDC) neu gynwysyddion diodydd nad ydynt yn gynwysyddion diodydd cartref (NDC) yw'r math o becynwaith, felly rhaid i swm y deunydd pecynwaith fod yn rhif cyfan"
Any valid record (same as the next one),Duplicate record,org_id_placeholder,12,L,2023-P2,PF,HDC,,AL,,,,101,101,Error/Gwall,40,Duplicate information submitted,Gwybodaeth ddyblyg wedi'i chyflwyno
Any valid record (same as the previous one),Duplicate record,org_id_placeholder,12,L,2023-P2,PF,HDC,,AL,,,,101,101,Error/Gwall,40,Duplicate information submitted,Gwybodaeth ddyblyg wedi'i chyflwyno
,PackType_SP&PackActivity_OM&PackgClass_P6&PackMaterial_any (valid record for small organisation),org_id_placeholder,XYZ123ABC,S,2023-P2,OM,SP,P6,GL,,,,101,,Error/Gwall,41,"Organisation size must be L. Currently, only large organisations can report packaging data.","Rhaid i faint y sefydliad fod yn L. Ar hyn o bryd, dim ond sefydliadau mawr sy'n cael rhoi gwybod am ddata pecynwaith."
,PackType_CW|OW&PackActivity_Completed,org_id_placeholder,ABCD,L,2023-P2,SO,CW,O1,PL,,EN,,101,,Error/Gwall,42,"When packaging activity is entered, packaging type cannot be self-managed waste (CW and OW)","Pan fyddwch chi'n rhoi'r gweithgaredd pecynnu, nid yw'r math o becynwaith yn cael bod yn wastraff hunan-reoledig (CW ac OW)"
,PackType_CW|OW&PackActivity_Completed,org_id_placeholder,ABCD,L,2023-P2,SO,OW,O2,PL,,NI,,101,,Error/Gwall,42,"When packaging activity is entered, packaging type cannot be self-managed waste (CW and OW)","Pan fyddwch chi'n rhoi'r gweithgaredd pecynnu, nid yw'r math o becynwaith yn cael bod yn wastraff hunan-reoledig (CW ac OW)"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,NDC,,GL,,,,101,101,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,HH,P1,GL,,,,101,,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,NH,P2,GL,,,,101,,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,PB,B1,GL,,,,101,,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,HDC,,GL,,,,101,101,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,PackType_NDC|HDC|HH|NH|SP|PB|RU&PackActivity_not_Completed,org_id_placeholder,ABCD,L,2023-P2,,RU,P1,GL,,,,101,,Error/Gwall,43,"When packaging activity is not entered, packaging type can only be self-managed waste (CW and OW)","Pan na fyddwch chi'n rhoi'r gweithgaredd pecynnu, gwastraff hunan-reoledig (CW ac OW) yw'r unig fath o becynwaith sy'n bosibl"
,Submission period is missing,org_id_placeholder,12,L,,PF,HDC,,AL,,,,101,101,Error/Gwall,44,Enter the time period for submission,Rhowch y cyfnod amser ar gyfer y cyflwyniad
,Pack_material_subtype_incorrect_or_missing,org_id_placeholder,BCD,L,2023-P2,HL,HH,P1,OT,,,,101,,Error/Gwall,45,"When packaging material is other (OT), you must enter the name of the material in packaging material subtype. It must not include numbers or commas.","Pan fo'r deunydd pecynwaith yn arall (OT), rhaid ichi nodi enw'r deunydd mewn is-deip deunydd pecynwaith. Ni chaniateir rhifau na choma."
,Pack_material_subtype_incorrect_or_missing,org_id_placeholder,BCD,L,2023-P2,HL,HH,P1,OT,1,,,101,,Error/Gwall,45,"When packaging material is other (OT), you must enter the name of the material in packaging material subtype. It must not include numbers or commas.","Pan fo'r deunydd pecynwaith yn arall (OT), rhaid ichi nodi enw'r deunydd mewn is-deip deunydd pecynwaith. Ni chaniateir rhifau na choma."
"This record produces also warning ""62""",subsidiary_id_incorrect,org_id_placeholder,ÃBC123,L,2023-P2,PF,HDC,,AL,,,,101,101,Error/Gwall,46,"Subsidiary ID must only include letters a to z, and numbers. It must be 32 characters or less.","Mae'r ID atodol yn cael cynnwys y llythrennau a i z, a rhifau yn unig. Rhaid iddo fod yn 32 o gymeriadau neu lai."
"This record produces also warning ""62""",subsidiary_id_incorrect,org_id_placeholder,ABCDEFGHIJKLMNOPQRSTUVWXYZ1234567,L,2023-P2,PF,HDC,,AL,,,,101,101,Error/Gwall,46,"Subsidiary ID must only include letters a to z, and numbers. It must be 32 characters or less.","Mae'r ID atodol yn cael cynnwys y llythrennau a i z, a rhifau yn unig. Rhaid iddo fod yn 32 o gymeriadau neu lai."
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,WD,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,AL,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,ST,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,GL,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,PC,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,XYZ123ABC,L,2023-P2,SO,HH,P1,FC,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackMaterial_not_OT&SubMaterial_completed,org_id_placeholder,ABC123,L,2023-P2,SO,HH,P1,PL,ceramic,,,101,,Error/Gwall,47,Packaging material subtype not needed for this packaging material,Dim angen is-deip pecynwaith ar gyfer y math pecynwaith yma
,PackType_CW|OW_transferred_weight_less_than_collected,org_id_placeholder,ABCDE12345XYZ,L,2023-P2,,CW,O1,PL,,WS,NI,101,,Error/Gwall,48,"Total weight of a single packaging material transferred to any country must not be more than the total collected. For example, you cannot transfer more plastic than you collect. Check the weight of this packaging material transferred to another country for all rows for this organisation.","Ni chaiff cyfanswm pwysau unrhyw un deunydd pecynwaith sy'n cael ei drosglwyddo i unrhyw wlad fod yn fwy na'r cyfanswm a gasglwyd. Er enghraifft, allwch chi ddim trosglwyddo mwy o blastig nag rydych chi'n ei gasglu. Gwiriwch bwysau'r deunydd pecynwaith yma sy'n cael ei drosglwyddo i wlad arall ym mhob rhes ar gyfer y sefydliad yma."
,PackType_CW|OW_transferred_weight_less_than_collected,org_id_placeholder,ABCDE12345XYZ,L,2023-P2,,OW,O2,ST,,NI,SC,101,,Error/Gwall,48,"Total weight of a single packaging material transferred to any country must not be more than the total collected. For example, you cannot transfer more plastic than you collect. Check the weight of this packaging material transferred to another country for all rows for this organisation.","Ni chaiff cyfanswm pwysau unrhyw un deunydd pecynwaith sy'n cael ei drosglwyddo i unrhyw wlad fod yn fwy na'r cyfanswm a gasglwyd. Er enghraifft, allwch chi ddim trosglwyddo mwy o blastig nag rydych chi'n ei gasglu. Gwiriwch bwysau'r deunydd pecynwaith yma sy'n cael ei drosglwyddo i wlad arall ym mhob rhes ar gyfer y sefydliad yma."
,PackType_CW|OW&FromNation_not_Completed,org_id_placeholder,,L,2023-P2,,OW,O1,AL,,,,101,,Error/Gwall,49,"When packaging type is self-managed waste (CW and OW), you must enter the from country","Pan fo'r math pecynwaith yn wastraff hunan-reoledig (CW ac OW), rhaid ichi roi'r wlad mae'n tarddu ohoni"
,PackType_CW|OW&FromNation_not_Completed,org_id_placeholder,,L,2023-P2,,CW,O1,PL,,,,101,,Error/Gwall,49,"When packaging type is self-managed waste (CW and OW), you must enter the from country","Pan fo'r math pecynwaith yn wastraff hunan-reoledig (CW ac OW), rhaid ichi roi'r wlad mae'n tarddu ohoni"
Any valid record (submission period is different from others),Different submission period for one organisation,org_id_placeholder,12,L,2023-P1,SO,HDC,,PL,,,,101,101,Error/Gwall,50,Submission period must be the same for all of this organisation's packaging data,Rhaid i'r cyfnod amser ar gyfer cyflwyno fod yr un fath ar gyfer holl ddata pecynwaith y sefydliad yma
,PackMaterial_OT&SubMaterial_plastic|HDPE|PET,org_id_placeholder,BCD,L,2023-P2,,OW,O2,OT,plastic,EN,,101,,Error/Gwall,51,"Packaging material subtype cannot be plastic, HDPE or PET","Nid yw is-deip y deunydd pecynwaith yn gallu bod yn blastig, HDPE neu PET"
,PackMaterial_OT&SubMaterial_plastic|HDPE|PET,org_id_placeholder,BCD,L,2023-P2,,OW,O2,OT,HDPE,EN,,101,,Error/Gwall,51,"Packaging material subtype cannot be plastic, HDPE or PET","Nid yw is-deip y deunydd pecynwaith yn gallu bod yn blastig, HDPE neu PET"
,PackMaterial_OT&SubMaterial_plastic|HDPE|PET,org_id_placeholder,BCD,L,2023-P2,,OW,O2,OT,PET,EN,,101,,Error/Gwall,51,"Packaging material subtype cannot be plastic, HDPE or PET","Nid yw is-deip y deunydd pecynwaith yn gallu bod yn blastig, HDPE neu PET"
,OrgSizw_L&PackType_invalid(SP),org_id_placeholder,XYZ123ABC,L,2023-P2,PF,SP,P3,FC,,,,101,,Error/Gwall,53,"When organisation size is large (L), packaging type cannot be small organisation packaging - all (SP)","Pan fo maint y sefydliad yn fawr (L), ni chaniateir i'r math pecynwaith fod yn becynwaith sefydliad bach – y cyfan (SP)"
Submission period should always be +1 (if others 2023-P2 this one should be 2023-P3),Wrong submisson period,org_id_placeholder,123ABC456XYZ,L,2023-P3,IM,HDC,,ST,,,,101,101,Error/Gwall,54,You're reporting packaging data for January to June 2023. Submission period must be 2023-P1 or 2023-P2.,Rydych chi'n rhoi gwybod am ddata pecynwaith ar gyfer Ionawr i Fehefin 2023. Rhaid i'r cyfnod cyflwyno fod yn 2023-P1 neu 2023-P2.
,Pack_material_weight_less_100,org_id_placeholder,ABC123,L,2023-P2,IM,HDC,,ST,,,,99,99,Warning/Rhybudd,59,Packaging material weight is less than 100. Check all packaging weights are in kg and not tonnes.,Mae pwysau'r deunydd pecynwaith yn llai na 100. Gwiriwch fod yr holl bwysau pecynwaith mewn kg ac nid tunelli.
Subsidiary Id should be unique in this file,One_pack_material(OT)_for_Org_Id|Sub_Id,org_id_placeholder,ABC1235435Ghjd,L,2023-P2,HL,HH,P1,OT,ceramic,,,101,,Warning/Rhybudd,62,Only one packaging material reported for this organisation. Check you have entered all packaging materials. All must be reported separately.,Rydych chi wedi rhoi gwybod am un deunydd pecynwaith yn unig ar gyfer y sefydliad yma. Gwiriwch eich bod wedi rhoi pob deunydd pecynwaith. Rhaid ichi roi gwybod am bob un ar wahân.
Subsidiary Id should be unique in this file,One_pack_material(not OT)_for_Org_Id|Sub_Id,org_id_placeholder,ABC1235435Ghjdty,L,2023-P2,SO,NDC,,PL,,,,101,101,Warning/Rhybudd,62,Only one packaging material reported for this organisation. Check you have entered all packaging materials. All must be reported separately.,Rydych chi wedi rhoi gwybod am un deunydd pecynwaith yn unig ar gyfer y sefydliad yma. Gwiriwch eich bod wedi rhoi pob deunydd pecynwaith. Rhaid ichi roi gwybod am bob un ar wahân.
,PackType_CW&PackMaterial_PC|GL|AL|ST,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,PC,,NI,,101,,Warning/Rhybudd,63,"For self-managed consumer waste (CW), you may not be able to offset your own packaging against aluminium (AL), glass (GL), paper or card (PC), or steel (ST). To check what packaging materials you can offset, you'll need to contact your nation's environmental regulator.","Yn achos gwastraff defnyddwyr hunan-reoledig (CW), mae'n bosibl na fyddwch chi'n gallu gwrthbwyso'ch pecynwaith eich hunan yn erbyn alwminiwm (AL), gwydr (GL), papur neu gerdyn (PC), neu ddur (ST). I wirio pa ddeunyddiau pecynwaith y gallwch eu gwrthbwyso, bydd angen ichi gysylltu â rheoleiddiwr amgylcheddol eich gwlad."
,PackType_CW&PackMaterial_PC|GL|AL|ST,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,GL,,NI,,101,,Warning/Rhybudd,63,"For self-managed consumer waste (CW), you may not be able to offset your own packaging against aluminium (AL), glass (GL), paper or card (PC), or steel (ST). To check what packaging materials you can offset, you'll need to contact your nation's environmental regulator.","Yn achos gwastraff defnyddwyr hunan-reoledig (CW), mae'n bosibl na fyddwch chi'n gallu gwrthbwyso'ch pecynwaith eich hunan yn erbyn alwminiwm (AL), gwydr (GL), papur neu gerdyn (PC), neu ddur (ST). I wirio pa ddeunyddiau pecynwaith y gallwch eu gwrthbwyso, bydd angen ichi gysylltu â rheoleiddiwr amgylcheddol eich gwlad."
,PackType_CW&PackMaterial_PC|GL|AL|ST,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,AL,,NI,,101,,Warning/Rhybudd,63,"For self-managed consumer waste (CW), you may not be able to offset your own packaging against aluminium (AL), glass (GL), paper or card (PC), or steel (ST). To check what packaging materials you can offset, you'll need to contact your nation's environmental regulator.","Yn achos gwastraff defnyddwyr hunan-reoledig (CW), mae'n bosibl na fyddwch chi'n gallu gwrthbwyso'ch pecynwaith eich hunan yn erbyn alwminiwm (AL), gwydr (GL), papur neu gerdyn (PC), neu ddur (ST). I wirio pa ddeunyddiau pecynwaith y gallwch eu gwrthbwyso, bydd angen ichi gysylltu â rheoleiddiwr amgylcheddol eich gwlad."
,PackType_CW&PackMaterial_PC|GL|AL|ST,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,ST,,NI,,101,,Warning/Rhybudd,63,"For self-managed consumer waste (CW), you may not be able to offset your own packaging against aluminium (AL), glass (GL), paper or card (PC), or steel (ST). To check what packaging materials you can offset, you'll need to contact your nation's environmental regulator.","Yn achos gwastraff defnyddwyr hunan-reoledig (CW), mae'n bosibl na fyddwch chi'n gallu gwrthbwyso'ch pecynwaith eich hunan yn erbyn alwminiwm (AL), gwydr (GL), papur neu gerdyn (PC), neu ddur (ST). I wirio pa ddeunyddiau pecynwaith y gallwch eu gwrthbwyso, bydd angen ichi gysylltu â rheoleiddiwr amgylcheddol eich gwlad."
,Pack_units_less_than_pack_weight&Pack_Type_HDC,org_id_placeholder,123ABC456XYZ,L,2023-P2,SO,HDC,,PL,,,,101,100,Warning/Rhybudd,64,Check packaging material weight (kg) and units are correct,Gwiriwch fod pwysau'r deunydd pecynwaith (kg) a'r unedau yn gywir
,Pack_units_less_than_pack_weight&Pack_Type_NDC,org_id_placeholder,123ABC456XYZ,L,2023-P2,PF,NDC,,AL,,,,101,100,Warning/Rhybudd,64,Check packaging material weight (kg) and units are correct,Gwiriwch fod pwysau'r deunydd pecynwaith (kg) a'r unedau yn gywir